time,Date,itf_g,itf_t,itf_s,DMI_HadISST1.1,meiv2,TCI_MEI,TCI_DMI,H1_features,H2_features,regime_shift
2000.1639344262296,2000-03-01,8.212127915749154,8.214127303379808,-1.8000749606043909,0.14,-1.37,2.5451040611632845,1.0911719541275364,0,10,0
2000.2486338797812,2000-04-01,5.181856295144272,3.865021157645641,1.6475614874409608,0.141,-0.9,2.9147907341450745,0.8139069493911939,0,10,0
2000.330601092896,2000-05-01,8.065911484307268,7.963266616674428,-0.2528182797941939,0.113,-0.93,3.2725520305801536,0.5455859770648845,0,10,0
2000.415300546448,2000-06-01,19.172735445962697,18.514802725992,0.0457594671413184,-0.022,-1.18,3.6422387035639283,0.2683209723270532,0,10,0
2000.4972677595629,2000-07-01,19.993730138309424,20.546644620073085,-0.9893171621080612,0.077,-0.61,4.0,0.0,0,10,0
2000.5819672131147,2000-08-01,18.72545007921237,17.28965077042041,1.4406449353649846,0.131,-0.08,4.0,0.18484635616600156,0,10,0
2000.6666666666667,2000-09-01,20.47973135503651,17.852894541797287,2.2631434985524046,-0.096,-0.35,4.0,0.36969271233249934,0,10,0
2000.7486338797812,2000-10-01,11.226380413582389,9.592354014438644,0.7518219488743914,-0.142,-0.52,4.0,0.5485762828152945,0,10,0
2000.8333333333333,2000-11-01,7.9839547641179,5.599645749917876,0.4356721193672989,-0.306,-0.86,4.0,0.7334226389817923,0,10,0
2000.915300546448,2000-12-01,8.887459554326849,6.773114130000099,-0.5476956845556789,-0.248,-0.79,4.0,0.9123062094650837,0,10,0
2001.0,2001-01-01,10.756366145470714,10.740874281729276,-3.669547533397844,-0.431,-0.83,4.0,1.0971525656315815,0,11,0
2001.0849315068488,2001-02-01,9.567478919870693,7.532930692553611,-3.050246604275038,-0.017,-0.86,4.0,1.282505350169633,0,11,0
2001.1616438356164,2001-03-01,9.178021513280816,4.002165209212744,-0.6864937100350877,-0.01,-0.78,4.0,1.449920768464196,0,11,0
2001.2465753424656,2001-04-01,6.150881551877651,-2.212158592352613,1.6452560351215602,0.136,-0.55,4.0,1.63527355300324,0,11,0
2001.328767123288,2001-05-01,8.934853725626557,0.8015439711586562,-0.5516568988858269,0.137,-0.51,4.0,1.8146472154614521,0,11,0
2001.4136986301369,2001-06-01,18.94047046840054,11.048573752162016,0.5472675000244182,0.127,-0.73,4.0,2.0,0,11,0
2001.495890410959,2001-07-01,21.792922475851945,13.504287012436176,0.5854248973222992,-0.14,0.04,3.820359281436822,2.0,0,11,0
2001.580821917808,2001-08-01,19.845720262758736,11.225406851077857,2.2150802864511783,-0.301,0.38,3.6347305389226316,2.0,0,11,0
2001.6657534246576,2001-09-01,22.32970670372635,13.155587796621573,3.550333092634099,-0.223,-0.06,3.4491017964069504,2.0,0,11,0
2001.7479452054797,2001-10-01,12.64737490796944,6.228646220061499,2.0844375439661342,-0.451,-0.22,3.269461077843773,2.0,0,11,0
2001.8328767123287,2001-11-01,8.335876354077428,3.682479758418812,2.4938029367013708,-0.245,-0.28,3.0838323353295825,2.0,0,11,0
2001.9150684931508,2001-12-01,8.782828034309492,6.117977359526424,0.4881335501598012,-0.051,0.06,2.9041916167664046,2.0,0,9,0
2002.0,2002-01-01,9.004498597469565,10.860141720786135,-2.551303734033153,-0.142,0.09,2.718562874251717,2.0,0,9,0
2002.0849315068488,2002-02-01,6.21330230089089,7.932630788943266,-2.29002682327506,-0.098,-0.26,2.5329341317380236,2.0,0,9,0
2002.1616438356164,2002-03-01,5.372886050201705,4.5373733230187,0.1771354251016803,0.008,-0.2,2.365269461078362,2.0,0,9,0
2002.2465753424656,2002-04-01,0.3461406066207827,-1.7042527930619933,2.898604390256854,-0.352,-0.36,2.1796407185636744,2.0,0,9,0
2002.328767123288,2002-05-01,1.4284799502499896,0.904107390168886,0.3691689358266528,-0.329,-0.14,2.0,2.0,0,9,0
2002.4136986301369,2002-06-01,11.92401946621049,10.736883148975505,0.6754596356599701,-0.19,0.34,2.09253731343252,2.09253731343252,0,9,0
2002.495890410959,2002-07-01,13.420481562519209,12.790375603473574,0.6892715703669223,-0.26,0.44,2.182089552238712,2.182089552238712,0,9,0
2002.580821917808,2002-08-01,13.238445616006068,10.398010322188158,2.2239223521657925,-0.208,1.01,2.274626865671232,2.274626865671232,0,9,0
2002.6657534246576,2002-09-01,17.16163504999935,12.279631659726032,4.186123184385096,0.286,0.88,2.3671641791044955,2.3671641791044955,0,9,0
2002.7479452054797,2002-10-01,10.546234197693964,5.295930964288168,2.957601581362631,0.405,0.84,2.4567164179106875,2.4567164179106875,0,9,0
2002.8328767123287,2002-11-01,8.912243804381257,2.8734777454426874,3.7399858470114498,0.096,0.84,2.5492537313432075,2.5492537313432075,0,9,0
2002.9150684931508,2002-12-01,9.74399458742942,5.398491150046501,2.1501878286524905,-0.158,0.91,2.6388059701493995,2.6388059701493995,0,9,0
2003.0,2003-01-01,12.21163176097593,10.191741882408802,-0.98367793166342,-0.239,0.82,2.7313432835821674,2.7313432835821674,0,9,0
2003.0849315068488,2003-02-01,9.172548838987248,7.480075734274507,-1.8246344644682764,0.017,0.63,2.8238805970144396,2.8238805970144396,0,9,0
2003.1616438356164,2003-03-01,7.436104419633017,3.697968980912756,0.7021698481148804,-0.039,0.53,2.907462686567232,2.907462686567232,0,9,0
2003.2465753424656,2003-04-01,3.644470306769386,-2.809474846511202,3.4657641681829063,-0.099,-0.11,3.0,3.0,0,9,0
2003.328767123288,2003-05-01,4.225269125209035,-0.5869002909406552,2.504566519896738,-0.164,-0.61,3.0,3.0,0,9,0
2003.4136986301369,2003-06-01,12.7257347548862,8.571996092495551,2.087812011528994,0.139,-0.1,3.0,3.0,0,9,0
2003.495890410959,2003-07-01,12.95598498405749,10.040984636473908,1.8033172669936748,0.131,0.01,3.0,3.0,0,9,0
2003.580821917808,2003-08-01,10.615734127064744,6.989237680870017,3.324429777940073,0.108,0.05,3.0,3.0,0,9,0
2003.6657534246576,2003-09-01,12.475911516577405,8.425163321096365,4.716469867265919,-0.061,0.18,3.0,3.0,0,9,0
2003.7479452054797,2003-10-01,3.279439607224376,1.282379831222822,3.097053832093434,-0.243,0.28,3.0,3.0,2,9,0
2003.8328767123287,2003-11-01,-0.6239645830357275,-1.2699891964097092,2.913822991097256,-0.159,0.3,3.0,3.0,2,9,0
2003.9150684931508,2003-12-01,0.6868976162926277,1.5169437310794316,1.136317351378596,0.189,0.14,3.0,3.0,2,9,0
2004.0,2004-01-01,1.2793555265151453,6.983806743290863,-1.1794079303219696,0.044,0.19,3.0,3.0,2,9,0
2004.084699453552,2004-02-01,-1.5635541489509737,4.884162933907151,-1.105149849411042,0.114,-0.05,3.0,3.0,2,9,0
2004.1639344262296,2004-03-01,-2.8619775495698407,1.9746660175900608,0.8552323833518265,0.077,-0.43,3.0,3.0,2,9,0
2004.2486338797812,2004-04-01,-5.916117512156166,-3.8172752160670624,3.5778286020511096,-0.08,-0.23,2.8160700933065854,2.724105139959878,2,9,0
2004.330601092896,2004-05-01,-4.523678668783803,-0.7878526024831071,1.99546643705039,-0.565,-0.46,2.6380734094091913,2.457110114113787,2,9,0
2004.415300546448,2004-06-01,6.001457501608623,9.45009687430635,2.2084985362534177,-0.384,-0.39,2.454143502714789,2.1812152540721836,2,9,0
2004.4972677595629,2004-07-01,8.450679596027685,11.623587821278246,1.9250499057701445,-0.301,0.46,2.276146818816901,1.9142202282253518,2,9,0
2004.5819672131147,2004-08-01,7.624981879445186,8.898535912303586,3.060994997404474,-0.132,0.77,2.0922169121229928,1.6383253681844894,2,9,0
2004.6666666666667,2004-09-01,11.45478127900576,10.615913914936474,4.543135870246626,-0.106,0.59,1.908287005428591,1.3624305081428862,1,9,0
2004.7486338797812,2004-10-01,4.058504987656087,3.4337341083776494,3.831588073043392,-0.004,0.4,1.7302903215316903,1.0954354822975354,1,9,0
2004.8333333333333,2004-11-01,2.100016537764241,0.7151445015314204,2.9835408826364684,-0.153,0.56,1.5463604148372883,0.8195406222559325,1,9,0
2004.915300546448,2004-12-01,3.047902007092113,2.951926420009763,1.929091154224192,-0.132,0.48,1.368363730939894,0.5525455964098409,1,9,0
