time,itf_g,itf_t,itf_s
1991-02-01,4.520673298141293,6.931069926012626,-1.80084435431265
1991-03-01,3.2168060526254356,3.5887588957821297,-0.26615381511792774
1991-04-01,-0.2759450525223787,-2.9675405402512167,2.5038080729023164
1991-05-01,0.723400796562532,-1.1863369824712253,0.5557577680193698
1991-06-01,9.879133685486456,7.478546407411025,2.486635357965449
1991-07-01,9.72009641269252,8.233895366066806,1.7718108200702687
1991-08-01,7.349735994412802,4.345255625814643,2.9830594590536696
1991-09-01,8.468430166440399,5.041385426500632,3.8366702836840485
1991-10-01,-0.5263438527252303,-2.9228480439297515,2.9272725711211716
1991-11-01,-5.053767514079031,-5.933114228995186,2.7684420449293476
1991-12-01,-3.4412639456442524,-3.208922628548579,0.1890192614521979
1992-01-01,-0.5156835626683542,2.5170694790340393,-1.4989819952481986
